ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย์
134,ปี 2553,7-50150-003,โรงเรียนบ้านช้างใน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลบ้านช้าง,อําเภอแม่แตง,เชียงใหม่,50150
135,ปี 2555,7-50150-004,โรงเรียนบ้านบวกหมื้อ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลขี้เหล็ก,อําเภอแม่แตง,เชียงใหม่,50150
136,ปี 2556,7-50150-005,โรงเรียนบ้านแม่ตะมาน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลกื้ดช้าง,อําเภอแม่แตง,เชียงใหม่,50150
137,ปี 2562,7-50150-006,โรงเรียนเทศบาลตําบลสันมหาพน,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลสันหาพน,อําเภอแม่แตง,เชียงใหม่,50150
138,ปี 2562,7-50150-007,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอดอยเต่า,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลท่าเดื่อ,อําเภอดอยเต่า,เชียงใหม่,50150
139,ปี 2562,7-50150-008,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอแม่แตง,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลสันมหาพน,อําเภอแม่แตง,เชียงใหม่,50150
140,ปี 2562,7-50150-009,โรงเรียนชุมชนวัดช่อแล,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลช่อแล,อําเภอแม่แตง,เชียงใหม่,50150
141,ปี 2562,7-50150-010,โรงเรียนแม่แตง,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลสันมหาพน,อําเภอแม่แตง,เชียงใหม่,50150
142,ปี 2562,7-50150-011,โรงเรียนป่าจี้แดงวิทยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลอินทขิล,อําเภอแม่แตง,เชียงใหม่,50150
143,ปี 2563,7-50150-012,โรงเรียนบ้านทุ่งหลวง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แตง,อําเภอแม่แตง,เชียงใหม่,50150
144,ปี 2564,7-50150-013,โรงเรียนบ้านก๋ายน้อย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลเมืองก๋าย,อําเภอแม่แตง,เชียงใหม่,50150
145,ปี 2567,7-50150-014,โรงเรียนบ้านปลาดาว,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลอินทขิล,อําเภอแม่แตง,เชียงใหม่,50150
146,ปี 2568,7-50150-015,โรงเรียนบ้านแม่เลา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลป่าแป,อําเภอแม่แตง,เชียงใหม่,50150
147,ปี 2568,7-50150-016,โรงเรียนเมฆขจรเชียงใหม่,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลขี้เหล็ก,อําเภอแม่แตง,เชียงใหม่,50150
148,ปี 2568,7-50150-017,"โรงเรียนบ้านปง
(อินทขิลวิทยาคาร)",สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลอินทขิล,อําเภอแม่แตง,เชียงใหม่,50150
149,ปี 2568,7-50150-018,โรงเรียนสันมหาพนวิทยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสันมหาพน,อําเภอแม่แตง,เชียงใหม่,50150
150,ปี 2568,7-50150-019,โรงเรียนบ้านปางกว้าง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลอินทขิล,อําเภอแม่แตง,เชียงใหม่,50150
151,ปี 2568,7-50150-020,โรงเรียนวัดห้วยไร่,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลขี้เหล็ก,อําเภอแม่แตง,เชียงใหม่,50150
152,ปี 2568,7-50150-021,โรงเรียนวัดบ้านเหล่า,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลเมืองก๋าย,อําเภอแม่แตง,เชียงใหม่,50150
153,ปี 2568,7-50150-022,โรงเรียนบ้านแม่แมม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลป่าแป,อําเภอแม่แตง,เชียงใหม่,50150
154,ปี 2568,7-50150-023,โรงเรียนบ้านเป้าวิทยาคาร,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลบ้านเป้า,อําเภอแม่แตง,เชียงใหม่,50150
155,ปี 2568,7-50150-024,โรงเรียนสันป่าสักวิทยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลขี้เหล็ก,อําเภอแม่แตง,เชียงใหม่,50150
156,ปี 2568,7-50150-025,โรงเรียนวัดหนองออน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลอินทขิล,อําเภอแม่แตง,เชียงใหม่,50150
157,ปี 2568,7-50150-026,โรงเรียนวัดปางมะกลวย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลป่าแป,อําเภอแม่แตง,เชียงใหม่,50150
158,ปี 2568,7-50150-027,โรงเรียนบ้านปางฮาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสบเปิง,อําเภอแม่แตง,เชียงใหม่,50150
159,ปี 2568,7-50150-028,โรงเรียนวัดนาเม็ง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่หอพระ,อําเภอแม่แตง,เชียงใหม่,50150
160,ปี 2568,7-50150-029,โรงเรียนวัดแม่เลย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะเมิงเหนือ,อําเภอสะเมิง,เชียงใหม่,50150
161,ปี 2568,7-50150-030,โรงเรียนบ้านแม่แสะ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลป่าแป,อําเภอแม่แตง,เชียงใหม่,50150
162,ปี 2568,7-50150-031,โรงเรียนบ้านปางไมแดง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลบ้านช้าง,อําเภอแม่แตง,เชียงใหม่,50150
163,ปี 2568,7-50150-032,โรงเรียนวัดแม่กะ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แตง,อําเภอแม่แตง,เชียงใหม่,50150
164,ปี 2568,7-50150-033,โรงเรียนบ้านผาหมอน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสบเปิง,อําเภอแม่แตง,เชียงใหม่,50150
165,ปี 2553,7-50150-033/09-ตชด.,โรงเรียนตํารวจตระเวนชายแดนไลออนสมหาจักร 9,กองกํากับการตํารวจตระเวนชายแดนที่ 33,ตําบลกื้ดช้าง,อําเภอแม่แตง,เชียงใหม่,50150
166,ปี 2568,7-50150-034,โรงเรียนบ้านทับเดื่อ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลอินทขิล,อําเภอแม่แตง,เชียงใหม่,50150
167,ปี 2568,7-50150-035,โรงเรียนบ้านผึ้ง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่หอพระ,อําเภอแม่แตง,เชียงใหม่,50150
168,ปี 2568,7-50150-036,โรงเรียนอนุบาลเทศบาลตําบลแม่แตง,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลแม่แตง,อําเภอแม่แตง,เชียงใหม่,50150
169,ปี 2568,7-50150-037,โรงเรียนบ้านแม่ไคร,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลป่าแป,อําเภอแม่แตง,เชียงใหม่,50150
170,ปี 2568,7-50150-038,โรงเรียนบ้านเมืองกื๊ด,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลกื๊ดช้าง,อําเภอแม่แตง,เชียงใหม่,50150
171,ปี 2568,7-50150-039,โรงเรียนร่ำเปงวิทยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลขี้เหล็ก,อําเภอแม่แตง,เชียงใหม่,50150
172,ปี 2568,7-50150-040,โรงเรียนบ้านปางห้วยตาด,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลอินทขิล,อําเภอแม่แตง,เชียงใหม่,50150
173,ปี 2568,7-50150-041,โรงเรียนบ้านเจดียแม่ครัว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แฝกใหม,อําเภอสันทราย,เชียงใหม่,50150
174,ปี 2568,7-50150-042,โรงเรียนอนุบาลเทศบาลตําบลจอมแจง,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลขี้เหล็ก,อําเภอแม่แตง,เชียงใหม่,50150
175,ปี 2568,7-50150-043,โรงเรียนอนุบาลสานสายใยรัก เทศบาลเมืองเมืองแกนพัฒนา,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลอินทขิล,อําเภอแม่แตง,เชียงใหม่,50150
176,ปี 2553,7-50160-001,โรงเรียนสองแคววิทยาคม,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลดอยหล่อ,อําเภอดอยหล่อ,เชียงใหม่,50160
177,ปี 2556,7-50160-002,โรงเรียนจอมทอง,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตำบลข่วงเปา,อําเภอจอมทอง,เชียงใหม่,50160
178,ปี 2556,7-50160-003,โรงเรียนสันติสุข,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลสันติสุข,อําเภอดอยหล่อ,เชียงใหม่,50160
179,ปี 2562,7-50160-004,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอดอยหล่อ,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลดอยหล่อ,อําเภอดอยหล่อ,เชียงใหม่,50160
180,ปี 2562,7-50160-005,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอจอมทอง,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลสบเตี๊ยะ,อําเภอจอมทอง,เชียงใหม่,50160
181,ปี 2562,7-50160-006,โรงเรียนเทศบาลจอมทอง 1 (ชุมชนบ้านขวงเปาเหนือ),กรมส่งเสริมการปกครองท้องถิ่น,ตำบลข่วงเปา,อําเภอจอมทอง,เชียงใหม่,50160
182,ปี 2565,7-50160-007,วิทยาลัยการอาชีพจอมทอง,สํานักงานคณะกรรมการการอาชีวศึกษา,ตำบลข่วงเปา,อําเภอจอมทอง,เชียงใหม่,50160
183,ปี 2567,7-50160-008,โรงเรียนดอยหล่อวิทยา,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลดอยหล่อ,อําเภอดอยหล่อ,เชียงใหม่,50160
184,ปี 2567,7-50160-009,โรงเรียนณัทชวิทย์,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตำบลข่วงเปา,อําเภอจอมทอง,เชียงใหม่,50160
185,ปี 2568,7-50160-010,โรงเรียนบ้านน้ำตกแม่กลาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านหลวง,อําเภอจอมทอง,เชียงใหม่,50160
186,ปี 2568,7-50160-011,โรงเรียนบ้านแม่ปอน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านหลวง,อําเภอจอมทอง,เชียงใหม่,50160
187,ปี 2568,7-50160-012,โรงเรียนบ้านขุนกลาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านกลาง,อําเภอจอมทอง,เชียงใหม่,50160
188,ปี 2568,7-50160-013,โรงเรียนบ้านห้วยสะแพด,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่สอย,อําเภอจอมทอง,เชียงใหม่,50160
189,ปี 2568,7-50160-014,โรงเรียนป่ากล้วยพัฒนา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่สอย,อําเภอจอมทอง,เชียงใหม่,50180
190,ปี 2568,7-50160-015,โรงเรียนบ้านเมืองกลาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านหลวง,อําเภอจอมทอง,เชียงใหม่,50160
191,ปี 2568,7-50160-016,โรงเรียนบ้านห้วยส้มป่อย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลดอยแก้ว,อําเภอจอมทอง,เชียงใหม่,50160
192,ปี 2568,7-50160-017,โรงเรียนศรีจอมทอง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลดอนแก้ว,อําเภอจอมทอง,เชียงใหม่,50160
193,ปี 2568,7-50160-018,โรงเรียนบ้านหาดนาค,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลสบเตี๊ยะ,อําเภอจอมทอง,เชียงใหม่,50160
194,ปี 2568,7-50160-019,โรงเรียนไทยรัฐวิทยา 79 (บ้าน หนองอาบช้าง),สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลสบเตี๊ยะ,อําเภอจอมทอง,เชียงใหม่,50160
195,ปี 2568,7-50160-020,โรงเรียนบ้านเมืองกลาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านหลวง,อําเภอจอมทอง,เชียงใหม่,50160
196,ปี 2568,7-50160-021,โรงเรียนบ้านสบเตี๊ยะ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลสบเตี๊ยะ,อําเภอจอมทอง,เชียงใหม่,50160
197,ปี 2568,7-50160-022,โรงเรียนบ้านท่าหลุก,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลสบเตี๊ยะ,อําเภอจอมทอง,เชียงใหม่,50160
198,ปี 2568,7-50160-023,โรงเรียนบ้านห้วยม่วง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลสบเตี๊ยะ,อําเภอจอมทอง,เชียงใหม่,50160
199,ปี 2568,7-50160-024,โรงเรียนบ้านห้วยน้ำดิบ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตำบลข่วงเปา,อําเภอจอมทอง,เชียงใหม่,50160
200,ปี 2568,7-50160-025,โรงเรียนบ้านขุนแตะ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลดอนแก้ว,อําเภอจอมทอง,เชียงใหม่,50160
201,ปี 2568,7-50160-026,โรงเรียนบ้านขุนกลาง สาขาแม่ยะน้อย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านหลวง,อําเภอจอมทอง,เชียงใหม่,50160
202,ปี 2568,7-50160-027,โรงเรียนวัดศรีดอนชัย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลสันทราย,อําเภอสารภี,เชียงใหม่,50140
203,ปี 2568,7-50160-028,โรงเรียนบ้านดงป่าหวาย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลดอยหล่อ,อําเภอดอยหล่อ,เชียงใหม่,50160
204,ปี 2568,7-50160-029,โรงเรียนนิยมไพรผาหมอน อินทนนท์,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านหลวง,อําเภอจอมทอง,เชียงใหม่,50160
205,ปี 2568,7-50160-030,โรงเรียนบ้านขุนยะ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านหลวง,อําเภอจอมทอง,เชียงใหม่,50160
206,ปี 2546,7-50170-001,โรงเรียนอรุโณทัยวิทยาคม,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
207,ปี 2555,7-50170-002,โรงเรียนศึกษาสงเคราะห์เชียงดาว,สํานักบริหารงานการศึกษาพิเศษ,ตําบลปิงโค้ง,อําเภอเชียงดาว,เชียงใหม่,50170
208,ปี 2562,7-50170-003,โรงเรียนบ้านนาหวาย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
209,ปี 2562,7-50170-004,โรงเรียนบ้านรินหลวง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
210,ปี 2562,7-50170-005,โรงเรียนบ้านปางเฟือง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลปิงโค้ง,อําเภอเชียงดาว,เชียงใหม่,50170
211,ปี 2563,7-50170-006,โรงเรียนบ้านแม่แมะ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่นะ,อําเภอเชียงดาว,เชียงใหม่,50170
212,ปี 2563,7-50170-007,โรงเรียนเชียงดาววิทยาคม,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลเชียงดาว,อําเภอเชียงดาว,เชียงใหม่,50170
213,ปี 2565,7-50170-008,โรงเรียนชุมชนบ้านเมืองงาย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองงาย,อําเภอเชียงดาว,เชียงใหม่,50170
214,ปี 2567,7-50170-009,โรงเรียนแกน้อยศึกษา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
215,ปี 2568,7-50170-010,โรงเรียนบ้านหนองเขียว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
216,ปี 2568,7-50170-011,โรงเรียนเจ้าฟ้าอุบลรัตน์,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลเชียงดาว,อําเภอเชียงดาว,เชียงใหม่,50170
217,ปี 2568,7-50170-012,โรงเรียนบ้านปางมะยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลปิงโค้ง,อําเภอเชียงดาว,เชียงใหม่,50170
218,ปี 2568,7-50170-013,โรงเรียนบ้านเชียงดาว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเชียงดาว,อําเภอเชียงดาว,เชียงใหม่,50170
219,ปี 2568,7-50170-014,โรงเรียนบ้านปางแดง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเชียงดาว,อําเภอเชียงดาว,เชียงใหม่,50170
220,ปี 2568,7-50170-015,โรงเรียนบ้านถ้ำ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเชียงดาว,อําเภอเชียงดาว,เชียงใหม่,50170
221,ปี 2568,7-50170-016,โรงเรียนบ้านแม่กอนใน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลทุ่งข้าวพวง,อําเภอเชียงดาว,เชียงใหม่,50170
222,ปี 2569,7-50170-017,โรงเรียนบ้านอรุโณทัย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
223,ปี 2569,7-50170-018,โรงเรียนมิตรมวลชนเชียงใหม่,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลปิงโค้ง,อําเภอเชียงดาว,เชียงใหม่,50170
224,ปี 2569,7-50170-019,โรงเรียนบ้านวังมะริว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองคอง,อําเภอเชียงดาว,เชียงใหม่,50170
225,ปี 2569,7-50170-020,โรงเรียนบ้านห้วยทรายขาว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลทุ่งข้าวพวง,อําเภอเชียงดาว,เชียงใหม่,50470
226,ปี 2569,7-50170-021,โรงเรียนโครงการหลวงแกน้อย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
227,ปี 2569,7-50170-022,โรงเรียนบ้านเมืองคอง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองคอง,อําเภอเชียงดาว,เชียงใหม่,50170
228,ปี 2569,7-50170-023,โรงเรียนชุมชนบ้านวังจ๊อม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเชียงดาว,อําเภอเชียงดาว,เชียงใหม่,50170
229,ปี 2553,7-50170-033/02-ตชด.,โรงเรียนตํารวจตระเวนชายแดน เฉลิมพระเกียรติฯ,กองกํากับการตํารวจตระเวนชายแดนที่ 33,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
230,ปี 2568,7-50170-033/05-ตชด.,โรงเรียนตํารวจตระเวนชายแดน บ้านหนองแขม,กองกํากับการตํารวจตระเวนชายแดนที่ 33,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
231,ปี 2545,7-50180-001,โรงเรียนนวมินทราชูทิศ พายัพ,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
232,ปี 2553,7-50180-002,โรงเรียนศึกษาสงเคราะห์เชียงใหม่,สํานักบริหารงานการศึกษาพิเศษ,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
233,ปี 2555,7-50180-003,โรงเรียนแม่ริมวิทยาคม,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลริมใต,อําเภอแม่ริม,เชียงใหม่,50180
234,ปี 2556,7-50180-004,โรงเรียนบ้านริมใต้,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลริมใต,อําเภอแม่ริม,เชียงใหม่,50180
235,ปี 2556,7-50180-005,โรงเรียนบ้านศาลา,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
236,ปี 2558,7-50180-006,วิทยาลัยพยาบาลบรมราชชนนี เชียงใหม่,สถาบันพระบรมราชชนก,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
237,ปี 2562,7-50180-007,โรงเรียนอนุบาลเทศบาลตําบลสันโป่ง,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลสันโป่ง,อําเภอแม่ริม,เชียงใหม่,50180
238,ปี 2563,7-50180-008,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอแม่ริม,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
239,ปี 2563,7-50180-009,โรงเรียนบ้านป่าติ้ว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสันโป่ง,อําเภอแม่ริม,เชียงใหม่,50180
240,ปี 2564,7-50180-010,โรงเรียนบ้านน้ำริน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลขี้เหล็ก,อําเภอแม่ริม,เชียงใหม่,50180
241,ปี 2564,7-50180-011,โรงเรียนดอนแก้วเนรมิตปัญญา,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
242,ปี 2564,7-50180-012,โรงเรียนบ้านดอนแก้ว,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
243,ปี 2568,7-50180-013,ศูนย์การศึกษาพิเศษ เขตการศึกษา 8,สํานักบริหารงานการศึกษาพิเศษ,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
244,ปี 2568,7-50180-014,โรงเรียนบ้านคุณหมอ,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลริมใต,อําเภอแม่ริม,เชียงใหม่,50180
245,ปี 2568,7-50180-015,โรงเรียนธีระวัธน์บําเพ็ญ,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลริมใต,อําเภอแม่ริม,เชียงใหม่,50180
246,ปี 2568,7-50180-016,โรงเรียนอนุบาลวรรณภา,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลสันโป่ง,อําเภอแม่ริม,เชียงใหม่,50180
247,ปี 2568,7-50180-017,โรงเรียนมูลนิธิมหาราช 5,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลริมเหนือ,อําเภอแม่ริม,เชียงใหม่,50180
248,ปี 2568,7-50180-018,โรงเรียนบ้านกองแหะ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลโป่งแยง,อําเภอแม่ริม,เชียงใหม่,50180
249,ปี 2568,7-50180-019,โรงเรียนเจ้าแม่หลวงอุปภรณ์ 2,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แรม,อําเภอแม่ริม,เชียงใหม่,50180
250,ปี 2568,7-50180-020,โรงเรียนวัดโป่งแยงเฉลิมพระเกียรติ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลโป่งแยง,อําเภอแม่ริม,เชียงใหม่,50180
251,ปี 2568,7-50180-021,โรงเรียนบ้านพระนอน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
252,ปี 2568,7-50180-022,โรงเรียนบ้านสันคะยอม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลขี้เหล็ก,อําเภอแม่ริม,เชียงใหม่,50180
