ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย์
27,ปี 2568,7-50100-008,โรงเรียนเทศบาลวัดศรีปิงเมือง,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
28,ปี 2568,7-50100-009,โรงเรียนเทศบาลวัดศรีดอนไชย,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
29,ปี 2568,7-50100-010,โรงเรียนอนุบาลเทศบาลตําบลป่าแดด,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลปาแดด,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
30,ปี 2568,7-50100-011,วิทยาลัยอาชีวศึกษาจันทร์ระวี,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลแม่เหียะ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
31,ปี 2568,7-50100-012,วิทยาลัยเทคโนโลยีเมโทร,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
32,ปี 2568,7-50100-013,วิทยาลัยเทคโนโลยีพาณิชยการเชียงใหม่,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
33,ปี 2568,7-50100-014,โรงเรียนวัดป่าแดด,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลป่าแดด,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
34,ปี 2568,7-50100-015,โรงเรียนบ้านแม่เหียะสามัคคี,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลแม่เหียะ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
35,ปี 2568,7-50100-016,โรงเรียนอนุบาลเทศบาลเมืองแม่เหียะ,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลแม่เหียะ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
36,ปี 2568,7-50100-017,โรงเรียนเทศบาลวัดพวกช้าง,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลหายยา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
37,ปี 2568,7-50100-018,โรงเรียนเทศบาลวัดเชียงยืน,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลศรีภูมิ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
