"รายชื่อสถานศึกษา ""สวนพฤกษศาสตร์โรงเรียน"" จังหวัดเชียงใหม่",,,,,,,,
จํานวน ๖๘๕ แห่ง ข้อมูล ณ วันที่ ๒๐ มีนาคม ๒๕๖๙,,,,,,,,
ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย
170,11 ธันวาคม 2568,7-50150-038,โรงเรียนบ้านเมืองกื๊ด,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลกื๊ดช้าง,อําเภอแม่แตง,เชียงใหม่,50150
171,11 ธันวาคม 2568,7-50150-039,โรงเรียนร่ำเปงวิทยา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลขี้เหล็ก,อําเภอแม่แตง,เชียงใหม่,50150
172,11 ธันวาคม 2568,7-50150-040,โรงเรียนบ้านปางห้วยตาด,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลอินทขิล,อําเภอแม่แตง,เชียงใหม่,50150
173,11 ธันวาคม 2568,7-50150-041,โรงเรียนบ้านเจดียแม่ครัว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แฝกใหม,อําเภอสันทราย,เชียงใหม่,50150
174,19 ธันวาคม 2568,7-50150-042,โรงเรียนอนุบาลเทศบาลตําบลจอมแจง,เทศบาลตําบลจอมแจง,ตําบลขี้เหล็ก,อําเภอแม่แตง,เชียงใหม่,50150
175,19 ธันวาคม 2568,7-50150-043,โรงเรียนอนุบาลสานสายใยรัก เทศบาลเมืองเมืองแกนพัฒนา,เทศบาลเมืองเมืองแกนพัฒนา,ตําบลอินทขิล,อําเภอแม่แตง,เชียงใหม่,50150
176,5 มกราคม 2553,7-50160-001,โรงเรียนสองแคววิทยาคม,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลดอยหลอ,อําเภอดอยหลอ,เชียงใหม่,50160
177,15 มกราคม 2556,7-50160-002,โรงเรียนจอมทอง,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลขวงเปา,อําเภอจอมทอง,เชียงใหม่,50160
178,ประมาณป 2556,7-50160-003,โรงเรียนสันติสุข,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลสันติสุข,อําเภอดอยหลอ,เชียงใหม่,50160
179,21 ตุลาคม 2562,7-50160-004,ศูนย์ส่งเสริมการเรียนรู้ ระดับ อําเภอดอยหลอ,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลดอยหลอ,อําเภอดอยหลอ,เชียงใหม่,50160
180,21 ตุลาคม 2562,7-50160-005,ศูนย์ส่งเสริมการเรียนรู้ อําเภอ จอมทอง,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลสบเตี๊ยะ,อําเภอจอมทอง,เชียงใหม่,50160
181,20 พฤศจิกายน 2562,7-50160-006,โรงเรียนเทศบาลจอมทอง 1 (ชุมชนบ้านขวงเปาเหนือ),เทศบาลตําบลจอมทอง,ตําบลขวงเปา,อําเภอจอมทอง,เชียงใหม่,50160
182,20 ตุลาคม 2565,7-50160-007,วิทยาลัยการอาชีพจอมทอง,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลขวงเปา,อําเภอจอมทอง,เชียงใหม่,50160
183,20 สิงหาคม 2567,7-50160-008,โรงเรียนดอยหลอวิทยา,องคการบริหารสวนตําบล ดอยหลอ,ตําบลดอยหลอ,อําเภอดอยหลอ,เชียงใหม่,50160
184,21 ตุลาคม 2567,7-50160-009,โรงเรียนณัทชวิทย,สํานักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลขวงเปา,อําเภอจอมทอง,เชียงใหม่,50160
185,20 มิถุนายน 2568,7-50160-010,โรงเรียนบ้านน้ำตกแม่กลาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านหลวง,อําเภอจอมทอง,เชียงใหม่,50160
186,21 กรกฎาคม 2568,7-50160-011,โรงเรียนบ้านแม่ปอน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านหลวง,อําเภอจอมทอง,เชียงใหม่,50160
187,21 กรกฎาคม 2568,7-50160-012,โรงเรียนบ้านขุนกลาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านกลาง,อําเภอจอมทอง,เชียงใหม่,50160
188,21 กรกฎาคม 2568,7-50160-013,โรงเรียนบ้านห้วยสะแพด,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่สอย,อําเภอจอมทอง,เชียงใหม่,50160
189,21 กรกฎาคม 2568,7-50160-014,โรงเรียนปากลวยพัฒนา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่สอย,อําเภอจอมทอง,เชียงใหม่,50180
190,21 กรกฎาคม 2568,7-50160-015,โรงเรียนบ้านเมืองกลาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านหลวง,อําเภอจอมทอง,เชียงใหม่,50160
191,21 กรกฎาคม 2568,7-50160-016,โรงเรียนบ้านห้วยสมปอย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลดอยแกว,อําเภอจอมทอง,เชียงใหม่,50160
192,21 กรกฎาคม 2568,7-50160-017,โรงเรียนศรีจอมทอง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลดอนแก้ว,อําเภอจอมทอง,เชียงใหม่,50160
193,21 กรกฎาคม 2568,7-50160-018,โรงเรียนบ้านหาดนาค,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลสบเตี๊ยะ,อําเภอจอมทอง,เชียงใหม่,50160
194,21 กรกฎาคม 2568,7-50160-019,โรงเรียนไทยรัฐวิทยา 79 (บ้าน หนองอาบช้าง),สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลสบเตี๊ยะ,อําเภอจอมทอง,เชียงใหม่,50160
195,21 กรกฎาคม 2568,7-50160-020,โรงเรียนบ้านเมืองกลาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านหลวง,อําเภอจอมทอง,เชียงใหม่,50160
196,21 กรกฎาคม 2568,7-50160-021,โรงเรียนบ้านสบเตี๊ยะ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลสบเตี๊ยะ,อําเภอจอมทอง,เชียงใหม่,50160
197,21 กรกฎาคม 2568,7-50160-022,โรงเรียนบ้านท่าหลุก,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลสบเตี๊ยะ,อําเภอจอมทอง,เชียงใหม่,50160
198,21 กรกฎาคม 2568,7-50160-023,โรงเรียนบ้านห้วยมวง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลสบเตี๊ยะ,อําเภอจอมทอง,เชียงใหม่,50160
199,21 กรกฎาคม 2568,7-50160-024,โรงเรียนบ้านห้วยน้ำดิบ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลขวงเปา,อําเภอจอมทอง,เชียงใหม่,50160
200,21 กรกฎาคม 2568,7-50160-025,โรงเรียนบ้านขุนแตะ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลดอนแก้ว,อําเภอจอมทอง,เชียงใหม่,50160
201,19 กันยายน 2568,7-50160-026,โรงเรียนบ้านขุนกลาง สาขาแม่ยะนอย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านหลวง,อําเภอจอมทอง,เชียงใหม่,50160
202,20 ตุลาคม 2568,7-50160-027,โรงเรียนวัดศรีดอนชัย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลสันทราย,อําเภอสารภี,เชียงใหม่,50140
203,20 ตุลาคม 2568,7-50160-028,โรงเรียนบ้านดงปาหวาย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลดอยหลอ,อําเภอดอยหลอ,เชียงใหม่,50160
204,11 ธันวาคม 2568,7-50160-029,โรงเรียนนิยมไพรผาหมอน อิน ทนนท,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านหลวง,อําเภอจอมทอง,เชียงใหม่,50160
205,11 ธันวาคม 2568,7-50160-030,โรงเรียนบ้านขุนยะ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านหลวง,อําเภอจอมทอง,เชียงใหม่,50160
206,23 ธันวาคม 2546,7-50170-001,โรงเรียนอรุโณทัยวิทยาคม,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
207,26 มกราคม 2555,7-50170-002,โรงเรียนศึกษาสงเคราะหเชียงดาว,สํานักบริหารงานการศึกษา พิเศษ,ตําบลปงโคง,อําเภอเชียงดาว,เชียงใหม่,50170
208,16 มกราคม 2562,7-50170-003,โรงเรียนบ้านนาหวาย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
209,25 กุมภาพันธ 2562,7-50170-004,โรงเรียนบ้านรินหลวง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
210,22 กรกฎาคม 2562,7-50170-005,โรงเรียนบ้านปางเฟอง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลปงโคง,อําเภอเชียงดาว,เชียงใหม่,50170
211,20 สิงหาคม 2563,7-50170-006,โรงเรียนบ้านแม่แมะ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่นะ,อําเภอเชียงดาว,เชียงใหม่,50170
212,20 พฤศจิกายน 2563,7-50170-007,โรงเรียนเชียงดาววิทยาคม,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลเชียงดาว,อําเภอเชียงดาว,เชียงใหม่,50170
213,20 ตุลาคม 2565,7-50170-008,โรงเรียนชุมชนบ้านเมืองงาย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองงาย,อําเภอเชียงดาว,เชียงใหม่,50170
214,21 ตุลาคม 2567,7-50170-009,โรงเรียนแกนอยศึกษา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
215,21 กรกฎาคม 2568,7-50170-010,โรงเรียนบ้านหนองเขียว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
216,21 กรกฎาคม 2568,7-50170-011,โรงเรียนเจาฟาอุบลรัตน,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลเชียงดาว,อําเภอเชียงดาว,เชียงใหม่,50170
217,21 กรกฎาคม 2568,7-50170-012,โรงเรียนบ้านปางมะยา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลปงโคง,อําเภอเชียงดาว,เชียงใหม่,50170
218,21 กรกฎาคม 2568,7-50170-013,โรงเรียนบ้านเชียงดาว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเชียงดาว,อําเภอเชียงดาว,เชียงใหม่,50170
219,21 กรกฎาคม 2568,7-50170-014,โรงเรียนบ้านปางแดง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเชียงดาว,อําเภอเชียงดาว,เชียงใหม่,50170
220,19 กันยายน 2568,7-50170-015,โรงเรียนบ้านถ้ำ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเชียงดาว,อําเภอเชียงดาว,เชียงใหม่,50170
221,19 ธันวาคม 2568,7-50170-016,โรงเรียนบ้านแม่กอนใน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลทุงขาวพวง,อําเภอเชียงดาว,เชียงใหม่,50170
222,20 มกราคม 2569,7-50170-017,โรงเรียนบ้านอรุโณทัย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
223,20 มีนาคม 2569,7-50170-018,โรงเรียนมิตรมวลชนเชียงใหม่,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลปงโคง,อําเภอเชียงดาว,เชียงใหม่,50170
224,20 มีนาคม 2569,7-50170-019,โรงเรียนบ้านวังมะริว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองคอง,อําเภอเชียงดาว,เชียงใหม่,50170
225,20 มีนาคม 2569,7-50170-020,โรงเรียนบ้านห้วยทรายขาว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลทุงขาวพวง,อําเภอเชียงดาว,เชียงใหม่,50470
226,20 มีนาคม 2569,7-50170-021,โรงเรียนโครงการหลวงแกนอย,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
227,20 มีนาคม 2569,7-50170-022,โรงเรียนบ้านเมืองคอง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองคอง,อําเภอเชียงดาว,เชียงใหม่,50170
228,20 มีนาคม 2569,7-50170-023,โรงเรียนชุมชนบ้านวังจอม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 3,ตําบลเชียงดาว,อําเภอเชียงดาว,เชียงใหม่,50170
229,10 มิถุนายน 2553,7-50170-033/02-ตชด.,โรงเรียนตํารวจตระเวนชายแดน เฉลิมพระเกียรติฯ,กองกํากับการตํารวจตระเวน ชายแดนที่ 33,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
230,20 มิถุนายน 2568,7-50170-033/05-ตชด.,โรงเรียนตํารวจตระเวนชายแดน บ้านหนองแขม,กองกํากับการตํารวจตระเวน ชายแดนที่ 33,ตําบลเมืองนะ,อําเภอเชียงดาว,เชียงใหม่,50170
231,15 มกราคม 2545,7-50180-001,โรงเรียนนวมินทราชูทิศ พายัพ,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
232,1 เมษายน 2553,7-50180-002,โรงเรียนศึกษาสงเคราะหเชียงใหม่,สํานักบริหารงานการศึกษา พิเศษ,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
233,5 พฤศจิกายน 2555,7-50180-003,โรงเรียนแม่ริมวิทยาคม,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลริมใต,อําเภอแม่ริม,เชียงใหม่,50180
234,16 กันยายน 2556,7-50180-004,โรงเรียนบ้านริมใต,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลริมใต,อําเภอแม่ริม,เชียงใหม่,50180
235,16 กันยายน 2556,7-50180-005,โรงเรียนบ้านศาลา,องคการบริหารสวนจังหวัด เชียงใหม่,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
236,25 พฤษภาคม 2558,7-50180-006,วิทยาลัยพยาบาลบรมราชชนนี เชียงใหม่,สถานบันพระบรมราชชนก,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
237,20 พฤศจิกายน 2562,7-50180-007,โรงเรียนอนุบาลเทศบาลตําบลสันโปง,เทศบาลตําบลสันโปง,ตําบลสันโปง,อําเภอแม่ริม,เชียงใหม่,50180
238,20 กรกฎาคม 2563,7-50180-008,ศูนย์ส่งเสริมการเรียนรู้ อําเภอแม่ริม,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
239,20 พฤศจิกายน 2563,7-50180-009,โรงเรียนบ้านปาติ้ว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลสันโปง,อําเภอแม่ริม,เชียงใหม่,50180
240,20 มกราคม 2564,7-50180-010,โรงเรียนบ้านน้ำริน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลขี้เหล็ก,อําเภอแม่ริม,เชียงใหม่,50180
241,21 มิถุนายน 2564,7-50180-011,โรงเรียนดอนแก้วเนรมิตปญญา,องคการบริหารสวนตําบล ดอนแก้ว,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
242,20 สิงหาคม 2564,7-50180-012,โรงเรียนบ้านดอนแก้ว,องคการบริหารสวนตําบล ดอนแก้ว,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
243,20 มิถุนายน 2568,7-50180-013,ศูนย์การศึกษาพิเศษ เขตการศึกษา 8,สํานักบริหารงานการศึกษา พิเศษ,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
244,21 กรกฎาคม 2568,7-50180-014,โรงเรียนบ้านคุณหมอ,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลริมใต,อําเภอแม่ริม,เชียงใหม่,50180
245,21 กรกฎาคม 2568,7-50180-015,โรงเรียนธีระวัธนบําเพ็ญ,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลริมใต,อําเภอแม่ริม,เชียงใหม่,50180
246,21 กรกฎาคม 2568,7-50180-016,โรงเรียนอนุบาลวรรณภา,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลสันโปง,อําเภอแม่ริม,เชียงใหม่,50180
247,21 กรกฎาคม 2568,7-50180-017,โรงเรียนมูลนิธิมหาราช 5,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลริมเหนือ,อําเภอแม่ริม,เชียงใหม่,50180
248,21 กรกฎาคม 2568,7-50180-018,โรงเรียนบ้านกองแหะ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลโปงแยง,อําเภอแม่ริม,เชียงใหม่,50180
249,21 กรกฎาคม 2568,7-50180-019,โรงเรียนเจ้าแม่หลวงอุปถัมภ 2,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แรม,อําเภอแม่ริม,เชียงใหม่,50180
250,21 กรกฎาคม 2568,7-50180-020,โรงเรียนวัดโป่งแยงเฉลิมพระเกียรติ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลโปงแยง,อําเภอแม่ริม,เชียงใหม่,50180
251,21 กรกฎาคม 2568,7-50180-021,โรงเรียนบ้านพระนอน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลดอนแก้ว,อําเภอแม่ริม,เชียงใหม่,50180
252,21 กรกฎาคม 2568,7-50180-022,โรงเรียนบ้านสันคะยอม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลขี้เหล็ก,อําเภอแม่ริม,เชียงใหม่,50180
253,21 กรกฎาคม 2568,7-50180-023,โรงเรียนบ้านหนองปลามัน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลห้วยทราย,อําเภอแม่ริม,เชียงใหม่,50180
254,21 กรกฎาคม 2568,7-50180-024,โรงเรียนบ้านปางไฮ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แรม,อําเภอแม่ริม,เชียงใหม่,50180
255,21 กรกฎาคม 2568,7-50180-025,โรงเรียนวัดทรายมูล,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลริมใต,อําเภอแม่ริม,เชียงใหม่,50180
256,21 กรกฎาคม 2568,7-50180-026,โรงเรียนบ้านแม่สา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่สา,อําเภอแม่ริม,เชียงใหม่,50180
257,21 กรกฎาคม 2568,7-50180-027,โรงเรียนบ้านโปงแยงใน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลโปงแยง,อําเภอแม่ริม,เชียงใหม่,50180
258,21 กรกฎาคม 2568,7-50180-028,โรงเรียนบ้านตนผึ้ง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลเหมืองแกว,อําเภอแม่ริม,เชียงใหม่,50180
259,21 กรกฎาคม 2568,7-50180-029,โรงเรียนเจาพอหลวงอุปถัมภ 7,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลโปงแยง,อําเภอแม่ริม,เชียงใหม่,50180
260,11 ธันวาคม 2568,7-50180-030,โรงเรียนบ้านทุงโปง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แรม,อําเภอแม่ริม,เชียงใหม่,50180
261,11 ธันวาคม 2568,7-50180-031,โรงเรียนบ้านบวกจั่น,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลโปงแยง,อําเภอแม่ริม,เชียงใหม่,50180
262,19 ธันวาคม 2568,7-50180-032,โรงเรียนอนุบาลอินทิราบ้านเด็ก,สํานักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลริมใต,อําเภอแม่ริม,เชียงใหม่,50180
263,23 ธันวาคม 2546,7-50190-001,โรงเรียนบ้านขุนแจ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แวน,อําเภอพราว,เชียงใหม่,50190
264,25 พฤษภาคม 2558,7-50190-002,โรงเรียนพราวบูรพา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลปาตุม,อําเภอพราว,เชียงใหม่,50190
265,20 กรกฎาคม 2563,7-50190-003,ศูนย์ส่งเสริมการเรียนรู้อําเภอพราว,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลทุงหลวง,อําเภอพราว,เชียงใหม่,50190
266,21 กรกฎาคม 2568,7-50190-004,โรงเรียนเทียนเลมนอย,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลปาตุม,อําเภอพราว,เชียงใหม่,50190
267,21 กรกฎาคม 2568,7-50190-005,โรงเรียนพราววิทยาคม,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลเขื่อนผาก,อําเภอพราว,เชียงใหม่,50190
268,21 กรกฎาคม 2568,7-50190-006,โรงเรียนบ้านปาไหน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลปาไหน,อําเภอพราว,เชียงใหม่,50190
269,21 กรกฎาคม 2568,7-50190-007,โรงเรียนบ้านตนรุง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลปาตุม,อําเภอพราว,เชียงใหม่,50190
270,21 กรกฎาคม 2568,7-50190-008,โรงเรียนบ้านแม่เหียะ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่แวน,อําเภอพราว,เชียงใหม่,50190
271,21 กรกฎาคม 2568,7-50190-009,โรงเรียนบ้านปาตุม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลปาตุม,อําเภอพราว,เชียงใหม่,50190
272,21 กรกฎาคม 2568,7-50190-010,โรงเรียนชุมชนสหกรณนิคมวิทยา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลเขื่อนตาก,อําเภอพราว,เชียงใหม่,50190
273,21 กรกฎาคม 2568,7-50190-011,โรงเรียนบ้านสันกลาง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลปาไหน,อําเภอพราว,เชียงใหม่,50190
274,21 กรกฎาคม 2568,7-50190-012,โรงเรียนประดูวิทยา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่ปง,อําเภอพราว,เชียงใหม่,50190
275,21 กรกฎาคม 2568,7-50190-013,โรงเรียนชุมชนบ้านโปง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลบ้านโปง,อําเภอพราว,เชียงใหม่,50190
276,21 กรกฎาคม 2568,7-50190-014,โรงเรียนบ้านห้วยบง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลเขื่อนผาก,อําเภอพราว,เชียงใหม่,50190
277,21 กรกฎาคม 2568,7-50190-015,โรงเรียนบ้านนาบุญโหลงขอด,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลโหลงขอด,อําเภอพราว,เชียงใหม่,50190
278,21 กรกฎาคม 2568,7-50190-016,โรงเรียนบ้านหนองปด,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลสันทราย,อําเภอพราว,เชียงใหม่,50190
279,21 กรกฎาคม 2568,7-50190-017,โรงเรียนสหกรณดําริ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลน้ำแพร,อําเภอพราว,เชียงใหม่,50190
280,21 กรกฎาคม 2568,7-50190-018,โรงเรียนบ้านหลวง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลโหลงขอด,อําเภอพราว,เชียงใหม่,50190
281,21 กรกฎาคม 2568,7-50190-019,โรงเรียนบ้านแม่ปาคี,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลสันทราย,อําเภอพราว,เชียงใหม่,50190
